iter	Logloss
0	0.6811450969
1	0.6674326255
2	0.6545047085
3	0.6383359182
4	0.6260709116
5	0.6151333454
6	0.6041732307
7	0.5896515836
8	0.5812666035
9	0.5739226093
10	0.5657101883
11	0.558366854
12	0.5519542522
13	0.5458339749
14	0.5377054965
15	0.532028887
16	0.5272787499
17	0.52135312
18	0.5146733368
19	0.507926447
20	0.501791529
21	0.4968718507
22	0.4886171927
23	0.4804944979
24	0.472329984
25	0.4663870302
26	0.4621068618
27	0.4522589177
28	0.445020632
29	0.4393981579
30	0.433363081
31	0.4296984446
32	0.4260404275
33	0.4201891199
34	0.4153164118
35	0.4098151836
36	0.4049230039
37	0.4013680125
38	0.3986095515
39	0.3946398047
40	0.3874920364
41	0.385013873
42	0.3791838914
43	0.3737888119
44	0.3708016888
45	0.3665132868
46	0.3619103229
47	0.3588146197
48	0.3514367202
49	0.3479273185
50	0.3441335253
51	0.3414914
52	0.3387432862
53	0.3364224403
54	0.3319016782
55	0.3290843102
56	0.3250385379
57	0.3222561411
58	0.3198634195
59	0.3168637189
60	0.3142369613
61	0.3120010697
62	0.3102737309
63	0.3080572617
64	0.3062713859
65	0.3040448142
66	0.3010260353
67	0.2989577846
68	0.2962295995
69	0.2931233715
70	0.2919934994
71	0.2890469292
72	0.2864056264
73	0.2831822422
74	0.2803165314
75	0.2771747382
76	0.2750048165
77	0.27240893
78	0.2705080819
79	0.2671564311
80	0.2638704596
81	0.260776319
82	0.258300083
83	0.2564167178
84	0.2537663809
85	0.2508904073
86	0.248507326
87	0.2460018617
88	0.2444061416
89	0.2417071628
90	0.2401248372
91	0.2368915157
92	0.2353436279
93	0.2333246837
94	0.2302474247
95	0.2264526114
96	0.2239971258
97	0.2216383375
98	0.2197595421
99	0.2177327549
100	0.215884274
101	0.2140613545
102	0.2109720385
103	0.2083882343
104	0.2076476532
105	0.2054589482
106	0.2017140756
107	0.1997770911
108	0.1985448553
109	0.1960467941
110	0.1930832614
111	0.1916564195
112	0.1876981048
113	0.1859167339
114	0.1822974064
115	0.1802519117
116	0.1789373625
117	0.1770658134
118	0.1745498077
119	0.1735523828
120	0.1724556185
121	0.1713071299
122	0.1702077923
123	0.1685289875
124	0.1664442186
125	0.1646397149
126	0.1627897475
127	0.1616864683
128	0.1592410654
129	0.1578432166
130	0.1564209327
131	0.1546564175
132	0.1528396457
133	0.1509429193
134	0.1497423485
135	0.147809264
136	0.1458276808
137	0.1444497012
138	0.1428024692
139	0.1406127747
140	0.1391933728
141	0.1376703774
142	0.1360611396
143	0.1348857313
144	0.1337210707
145	0.1323736782
146	0.1307700288
147	0.1301344337
148	0.1281109994
149	0.1271859153
150	0.1256803175
151	0.1237367987
152	0.1221894496
153	0.1212746111
154	0.1199890145
155	0.1188725452
156	0.1173561811
157	0.1163253062
158	0.1153217007
159	0.1140388695
160	0.1126644948
161	0.1113251655
162	0.1100047492
163	0.1093120049
164	0.1079137947
165	0.1068628857
166	0.1056561142
167	0.1046626139
168	0.1036859873
169	0.1019003261
170	0.1015356037
171	0.1003826579
172	0.09935393113
173	0.09822667173
174	0.09715188449
175	0.09626585215
176	0.09477347251
177	0.09369074488
178	0.09290694211
179	0.09206164074
180	0.09130476811
181	0.09053535898
182	0.08969925286
183	0.08920294231
184	0.08788813524
185	0.08745734054
186	0.0867646648
187	0.08614432863
188	0.08564994136
189	0.08489401672
190	0.08388673439
191	0.0831804994
192	0.08227009992
193	0.08129719528
194	0.08090862949
195	0.08003566839
196	0.07910249261
197	0.07814791071
198	0.07747074457
199	0.07674934898
