record_id,churn_probability,churn_prediction_threshold_0.25,churn_prediction_threshold_0.30,churn_prediction_threshold_0.35,churn_prediction_threshold_0.50,xgb_probability,cat_probability,churn_label,risk_level
3,0.4771261895215928,1,1,1,0,0.51042956,0.4271710873932687,Yes,High
6,0.4391231842540504,1,1,1,0,0.54056185,0.2869651485738163,Yes,High
9,0.4902545509064197,1,1,1,0,0.5759742,0.3616750233680007,Yes,High
19,0.5713869508601173,1,1,1,1,0.66157883,0.4360990664603669,Yes,Very High
21,0.4127511179507792,1,1,1,0,0.38241267,0.4582587495597749,Yes,High
23,0.5432847193227452,1,1,1,1,0.59735775,0.4621751733984157,Yes,High
34,0.4699687718206521,1,1,1,0,0.54707944,0.3543027636542609,Yes,High
42,0.4435537553517629,1,1,1,0,0.4385143,0.4511129351180317,Yes,High
43,0.5244837864630685,1,1,1,1,0.5778381,0.4444522818906272,Yes,High
44,0.444978416435272,1,1,1,0,0.51916116,0.3337042790461344,Yes,High
48,0.4330968043969589,1,1,1,0,0.47383505,0.3719894046004907,Yes,High
49,0.5072219416870833,1,1,1,1,0.5094673,0.5038538687860372,Yes,High
51,0.4143558885855702,1,1,1,0,0.34401146,0.5198725303518841,Yes,High
55,0.6184570931478527,1,1,1,1,0.668284,0.5437166599145002,Yes,Very High
56,0.5636123023281072,1,1,1,1,0.6108423,0.4927672947072918,Yes,Very High
57,0.4699300364543277,1,1,1,0,0.49388736,0.4339940438392951,Yes,High
59,0.5017415773300101,1,1,1,1,0.55225784,0.4259671746263329,Yes,High
72,0.5289501879582366,1,1,1,1,0.5351526,0.5196464891159435,Yes,High
73,0.64014521012619,1,1,1,1,0.64965695,0.6258775236684795,Yes,Very High
80,0.4486429327003853,1,1,1,0,0.43418595,0.4703283889275532,Yes,High
83,0.4477630925273447,1,1,1,0,0.46552676,0.4211175620793176,Yes,High
86,0.4564775848290917,1,1,1,0,0.45344552,0.4610256165021649,Yes,High
99,0.4244227403697745,1,1,1,0,0.48139942,0.3389576808356682,Yes,High
100,0.4463330236169837,1,1,1,0,0.4857363,0.387228063517099,Yes,High
106,0.4614294772820461,1,1,1,0,0.5208116,0.3723562522423238,Yes,High
112,0.7349193578582114,1,1,1,1,0.7264392,0.7476395829571051,Yes,Very High
114,0.543118408178356,1,1,1,1,0.51802534,0.580757982668943,Yes,High
118,0.4102971559760964,1,1,1,0,0.3952491,0.4328692346806319,Yes,High
120,0.4479051460027524,1,1,1,0,0.44727162,0.4488554421066811,Yes,High
121,0.4097480770677799,1,1,1,0,0.3800801,0.4542500145063982,Yes,High
129,0.4093472980585527,1,1,1,0,0.44754004,0.3520581183649182,Yes,High
142,0.4530723725683042,1,1,1,0,0.4529692,0.4532270965294412,Yes,High
145,0.4468457649209252,1,1,1,0,0.4972021,0.3713112200444319,Yes,High
148,0.4516829253870217,1,1,1,0,0.46183,0.4364623133435765,Yes,High
155,0.4224508581247442,1,1,1,0,0.43814737,0.3989060664391799,Yes,High
165,0.5141691601108381,1,1,1,1,0.52349776,0.5001762598332935,Yes,High
170,0.7566826320130473,1,1,1,1,0.77346194,0.7315136433737591,Yes,Very High
171,0.4501130497020921,1,1,1,0,0.49385795,0.3844956843958398,Yes,High
175,0.5616693951566833,1,1,1,1,0.50917894,0.6404050831694945,Yes,Very High
176,0.5714463891912517,1,1,1,1,0.6092477,0.5147444462599896,Yes,Very High
187,0.6414046965882433,1,1,1,1,0.6705649,0.5976643619053693,Yes,Very High
189,0.5409343674807842,1,1,1,1,0.54388136,0.5365138836277263,Yes,High
198,0.5751427384957329,1,1,1,1,0.6050328,0.5303075841925183,Yes,Very High
202,0.5631885654852729,1,1,1,1,0.6072034,0.4971662479455125,Yes,Very High
204,0.5234001221106661,1,1,1,1,0.611957,0.3905647848661274,Yes,High
208,0.4441257347287747,1,1,1,0,0.4736874,0.3997831616853707,Yes,High
218,0.4049622053065575,1,1,1,0,0.37048537,0.456677435377905,Yes,High
223,0.4573285994725561,1,1,1,0,0.46556032,0.4449809635175109,Yes,High
225,0.5739776928576954,1,1,1,1,0.5616616,0.5924518007420321,Yes,Very High
230,0.6072383247614208,1,1,1,1,0.6644999,0.5213459637761869,Yes,Very High
234,0.5055020188459819,1,1,1,1,0.5392641,0.4548589227520092,Yes,High
239,0.4166708660258062,1,1,1,0,0.50026315,0.2912824035021681,Yes,High
244,0.5338563810908421,1,1,1,1,0.57497805,0.4721738127677698,Yes,High
248,0.4818063575098769,1,1,1,0,0.44923353,0.5306655660445133,Yes,High
252,0.5179488014093983,1,1,1,1,0.53721535,0.4890489456335572,Yes,High
254,0.4207294860083492,1,1,1,0,0.43683067,0.3965777105586309,Yes,High
259,0.5208737797415965,1,1,1,1,0.563446,0.4570154713781459,Yes,High
267,0.4897949579258327,1,1,1,0,0.49605584,0.4804035730410528,Yes,High
269,0.6941862143508912,1,1,1,1,0.69845533,0.6877824757080082,Yes,Very High
274,0.4805791537841463,1,1,1,0,0.51699615,0.4259536069831012,Yes,High
277,0.4757653906733988,1,1,1,0,0.487397,0.4583179540413615,Yes,High
278,0.448071618037247,1,1,1,0,0.43578532,0.466501015317498,Yes,High
283,0.6209829117454102,1,1,1,1,0.6890572,0.518871462741745,Yes,Very High
287,0.5947764648115077,1,1,1,1,0.65163285,0.5094918194203175,Yes,Very High
288,0.5026327422748927,1,1,1,1,0.55966896,0.4170783737030934,Yes,High
289,0.4219633632187679,1,1,1,0,0.37049165,0.4991709051739759,Yes,High
292,0.5385470817129755,1,1,1,1,0.5002082,0.5960553461414932,Yes,High
294,0.4967337786998292,1,1,1,0,0.4876365,0.5103796571110537,Yes,High
301,0.4633187305364873,1,1,1,0,0.45791364,0.4714263109946912,Yes,High
308,0.627421374538179,1,1,1,1,0.6352092,0.6157395874923364,Yes,Very High
316,0.6987664096426842,1,1,1,1,0.6370317,0.7913684827267818,Yes,Very High
317,0.4382602068791472,1,1,1,0,0.46279258,0.4014615945542065,Yes,High
320,0.4205059847238824,1,1,1,0,0.45263854,0.3723071120687241,Yes,High
323,0.6500615625372456,1,1,1,1,0.77588207,0.4613307487942094,Yes,Very High
331,0.4784149537433521,1,1,1,0,0.4938805,0.4552166188630799,Yes,High
332,0.4359539842362206,1,1,1,0,0.4153264,0.4668953507530196,Yes,High
333,0.8413864130611927,1,1,1,1,0.84454566,0.8366475390483216,Yes,Very High
337,0.5814260864776779,1,1,1,1,0.65332866,0.4735721708641471,Yes,Very High
339,0.4772755131975262,1,1,1,0,0.43920618,0.5343794638552886,Yes,High
342,0.5588904560615021,1,1,1,1,0.51632345,0.6227409693125382,Yes,Very High
348,0.4391952424674908,1,1,1,0,0.4686182,0.3950607700719635,Yes,High
360,0.4022113523029275,1,1,1,0,0.3924844,0.4168017559108604,Yes,High
367,0.4940229980953787,1,1,1,0,0.4862439,0.5056916248818871,Yes,High
372,0.4883762290017598,1,1,1,0,0.5157658,0.447291878346799,Yes,High
378,0.5343552800614,1,1,1,1,0.5554303,0.5027427456275525,Yes,High
381,0.4583405081735198,1,1,1,0,0.525615,0.3574287455047529,Yes,High
383,0.4084649386828449,1,1,1,0,0.44872126,0.3480803973538942,Yes,High
389,0.4623087775337104,1,1,1,0,0.49033946,0.4202626972465229,Yes,High
395,0.5173181761137599,1,1,1,1,0.5262722,0.5038871290365741,Yes,High
400,0.487800788295479,1,1,1,0,0.52396625,0.4335525915329938,Yes,High
401,0.4160711959983438,1,1,1,0,0.41799816,0.4131807128552421,Yes,High
404,0.4650361760594721,1,1,1,0,0.4669929,0.462101008529036,Yes,High
406,0.5123736389456603,1,1,1,1,0.5207924,0.4997454156424634,Yes,High
407,0.5241051565639274,1,1,1,1,0.49423388,0.568912017105047,Yes,High
411,0.4233117376859453,1,1,1,0,0.43146747,0.4110781041521496,Yes,High
420,0.6452485322856991,1,1,1,1,0.655169,0.630367770767234,Yes,Very High
424,0.6404943511024974,1,1,1,1,0.66861814,0.598308604244357,Yes,Very High
425,0.4309747581618381,1,1,1,0,0.43408448,0.4263101679427805,Yes,High
427,0.5641960844588316,1,1,1,1,0.60272443,0.5064035319268796,Yes,Very High
432,0.5101304858334206,1,1,1,1,0.5607795,0.4341569317895527,Yes,High
433,0.5252590510115579,1,1,1,1,0.49936488,0.564100303467501,Yes,High
