days_since_last_login,avg_monthly_usage_hours,payment_delay_days_mean,critical_ticket_ratio,avg_nps_score,revenue_at_risk,payment_consistency_score,unresolved_ratio,total_tickets,mrr_current,tenure_days,usage_per_user,feature_adoption_pct_mean,total_users,enterprise_account_health,churned
63,181.0,9.4,0.3333333333333333,7.5,18639.24485818181,0.0,0.3333333333333333,6.0,15624.24,1219,2.919354838709677,15.8,62,0.6088575757575757,0
79,283.8,7.0,0.5,6.5,63650.048715000004,0.5,0.125,8.0,16387.2925,62,4.054285714285714,40.7,70,0.802498106060606,0
69,114.8,0.0,0.3333333333333333,10.0,63650.048715000004,1.0,0.6666666666666666,3.0,16387.2925,1097,2.551111111111111,52.3,45,0.9375,0
37,188.8,8.2,0.6666666666666666,10.0,47031.602688000006,0.0,0.1333333333333333,15.0,16387.2925,246,2.3898734177215197,73.5,71,0.6561333333333332,1
58,116.5,0.0,0.2222222222222222,9.5,29783.83333333333,1.0,0.2222222222222222,9.0,2865.5,1066,8.321428571428571,18.2,14,0.966540404040404,1
34,293.8,0.0,0.25,6.0,63650.048715000004,1.0,0.3333333333333333,12.0,16387.2925,276,5.65,48.9,52,0.9180871212121212,0
64,239.1,0.0,0.5,10.0,24730.700000000004,1.0,0.1666666666666666,6.0,2473.07,336,14.06470588235294,53.5,17,0.9583333333333334,0
62,109.8,5.5,0.1333333333333333,0.5,2934.6050278787884,0.0,0.3333333333333333,15.0,1728.58,1462,4.575,39.8,24,0.5882121212121212,0
11,224.2,0.0,0.1428571428571428,6.0,10603.468051948052,1.0,0.2857142857142857,7.0,1242.72,215,2.6069767441860465,74.6,71,0.9277597402597404,0
44,105.0,1.368421052631579,0.1875,3.0,22604.442836124403,0.7368421052631579,0.1875,16.0,3727.7,276,1.6666666666666667,25.1,63,0.8407363437001594,0
70,247.4,0.0833333333333333,0.4444444444444444,2.0,17902.99655353535,0.9722222222222222,0.4444444444444444,9.0,3655.23,1007,3.9269841269841272,65.7,63,0.8477575757575757,0
43,269.7,0.0,0.0,4.0,23646.477272727272,1.0,0.9333333333333333,1.0,4128.75,1128,12.259090909090908,56.5,22,0.8693181818181819,1
7,69.1,0.0,0.3636363636363636,4.5,30590.678181818177,1.0,0.2727272727272727,11.0,4314.07,1431,0.6979797979797979,51.1,71,0.8977272727272727,0
36,276.3,2.0,0.0,6.0,63650.048715000004,0.75,0.9333333333333333,2.0,16387.2925,1342,2.790909090909091,64.7,71,0.8367121212121211,0
78,279.5,4.25,0.0,1.5,63650.048715000004,0.5,0.25,4.0,16387.2925,1311,3.0380434782608696,23.1,71,0.7764507575757577,0
53,275.5,1.7,0.0,4.0,27375.35653818182,0.75,0.0,2.0,3631.91,459,3.4012345679012346,54.4,71,0.8772848484848486,1
29,274.5,0.0,0.2857142857142857,0.0,11356.193766233768,1.0,0.2857142857142857,14.0,2350.61,215,4.815789473684211,43.2,57,0.8506493506493507,0
4,194.4,0.5,0.3571428571428571,9.5,14475.197824675324,0.9047619047619048,0.1428571428571428,14.0,1491.34,246,2.025,59.5,71,0.9426872294372296,0
39,77.4,2.5,0.0,4.5,31711.482000000007,0.5,0.0,4.0,4804.77,215,4.300000000000001,75.9,18,0.8308333333333333,0
76,66.2,0.0,0.3333333333333333,4.0,63650.048715000004,1.0,0.1666666666666666,12.0,16387.2925,673,1.2980392156862746,31.9,51,0.9005681818181819,0
36,230.4,6.6,0.7857142857142857,1.5,23898.023842909097,0.0,0.3571428571428571,14.0,16387.2925,1250,3.2450704225352114,28.1,71,0.5423805194805195,0
32,277.8,5.75,0.4,7.0,39409.383888,0.0,0.2,5.0,14240.16,520,4.960714285714286,84.9,56,0.7130757575757576,0
82,101.3,5.0,0.4666666666666667,4.0,63650.048715000004,0.5,0.2666666666666666,15.0,16387.2925,185,5.065,14.6,20,0.7726515151515152,0
21,116.2,2.6666666666666665,0.0,7.0,25885.504823030315,0.5,0.2,10.0,3620.78,885,1.1857142857142855,21.8,71,0.8462979797979797,1
70,204.0,1.2758620689655171,0.5,9.5,23739.002139498432,0.8620689655172413,0.0,2.0,2516.07,276,11.333333333333334,12.7,18,0.9320796760710556,0
31,262.4,0.0,0.4545454545454545,1.0,63650.048715000004,1.0,0.0909090909090909,11.0,16387.2925,1097,7.091891891891891,30.1,37,0.8636363636363636,0
82,223.9,10.0,0.2,5.0,3416.035,0.0,0.3,10.0,1952.02,520,4.390196078431373,63.9,51,0.5995833333333334,1
23,242.8,4.5,0.3333333333333333,1.0,39301.258550909086,0.0,0.2222222222222222,9.0,16387.2925,793,3.2373333333333334,70.9,71,0.6210050505050505,1
45,250.7,0.0,0.3333333333333333,0.0,5175.517272727273,1.0,0.0,3.0,933.29,185,5.697727272727272,38.3,44,0.865530303030303,0
5,91.3,0.4583333333333333,0.3529411764705882,5.0,27268.946784313728,0.875,0.4117647058823529,17.0,4351.7,946,2.075,14.4,44,0.863483660130719,0
9,208.0,6.0,0.6666666666666666,4.0,39019.17126545454,0.0,0.1666666666666666,12.0,16387.2925,1342,13.866666666666667,93.1,15,0.5837348484848485,0
38,184.4,7.0,0.3333333333333333,9.5,63650.048715000004,0.0,0.2666666666666666,15.0,16387.2925,854,2.752238805970149,64.4,67,0.6661515151515152,0
23,114.2,0.7291666666666666,0.5,8.0,11488.057583333337,0.8958333333333334,0.5,2.0,1540.22,1372,1.6084507042253522,53.3,71,0.8919949494949495,0
59,124.0,0.0,0.1111111111111111,8.0,63650.048715000004,1.0,0.1111111111111111,9.0,16387.2925,185,1.2783505154639174,84.4,71,0.9633838383838385,1
37,208.7,0.0,0.3333333333333333,5.5,7778.667272727272,1.0,0.25,9.0,966.84,701,2.173958333333333,77.0,71,0.9176136363636364,0
55,283.5,0.0,0.375,1.5,9391.076931818185,1.0,0.5,8.0,1981.81,854,4.973684210526316,28.7,57,0.8487215909090909,1
84,99.2,7.0,0.1666666666666666,4.0,19718.88999818181,0.0,0.0,6.0,14995.44,824,1.358904109589041,63.9,71,0.6127348484848485,1
59,174.1,0.0,0.0,7.0,34779.55909090909,1.0,0.9333333333333333,1.0,4723.15,32,2.2907894736842103,18.9,71,0.9034090909090908,0
28,134.4,0.0,0.3846153846153846,8.5,63650.048715000004,1.0,0.2307692307692307,13.0,16387.2925,336,2.317241379310345,82.4,58,0.944493006993007,0
39,203.8,2.111111111111111,0.3333333333333333,6.0,7676.296009090909,0.7777777777777778,0.25,9.0,1054.89,1372,4.73953488372093,79.7,43,0.8732213804713804,0
60,188.8,0.8421052631578947,0.3571428571428571,1.0,5451.355165960356,0.8421052631578947,0.0714285714285714,14.0,1025.79,520,2.736231884057972,33.9,69,0.8371169970380496,1
24,57.5,1.625,0.75,1.0,13390.590272727277,0.875,0.25,4.0,3532.29,673,1.0267857142857142,30.5,56,0.8058939393939394,1
89,234.0,6.75,0.5,6.0,3763.6151931818185,0.0,0.25,4.0,2162.15,732,7.3125,33.6,32,0.5996704545454545,1
1,131.5,4.142857142857143,0.25,0.0,4567.440763636363,0.5714285714285714,0.5,4.0,1402.62,916,4.696428571428571,65.5,28,0.7427267316017315,0
55,181.8,0.5151515151515151,0.375,4.0,11997.689058677688,0.9393939393939394,0.25,8.0,1812.04,673,3.1894736842105265,85.9,57,0.8792607323232324,1
74,190.4,10.0,0.1875,9.0,48074.05700284093,0.0,0.375,16.0,16387.2925,1066,7.051851851851852,81.7,27,0.636813446969697,0
59,126.5,1.375,0.1818181818181818,8.0,38243.518727272734,0.875,0.2727272727272727,11.0,4315.76,215,2.691489361702128,73.8,47,0.9201969696969696,1
68,116.9,0.0,0.625,5.5,16915.883522727272,1.0,0.0,8.0,2205.33,885,2.2921568627450983,20.9,51,0.9098011363636364,0
75,214.8,2.375,0.3,4.5,29544.39786,0.75,0.3,10.0,4776.01,673,8.261538461538462,79.5,26,0.8436666666666667,0
82,106.7,6.6,0.6666666666666666,9.5,63059.128180363645,0.0,0.0,3.0,16387.2925,1403,7.621428571428572,59.4,14,0.6870515151515152,0
48,276.7,8.4,0.2222222222222222,8.5,63650.048715000004,0.0,0.0,9.0,16387.2925,763,4.392063492063492,25.2,63,0.7226656565656566,0
53,255.6,0.0,0.5,7.0,36650.33659090909,1.0,0.375,8.0,4736.02,977,3.1555555555555554,80.6,71,0.9112215909090908,0
2,133.4,2.625,0.5,7.0,12903.431982954546,0.75,0.1428571428571428,14.0,1783.95,763,3.923529411764706,27.1,34,0.8687305194805195,0
30,137.3,8.4,0.4545454545454545,4.5,63650.048715000004,0.0,0.0,11.0,16387.2925,797,6.865,68.7,20,0.6386909090909091,1
